Category,Title,Description,ImageFile,LogoFile,VideoFile,Genre,Match,Year,IMDb,Streams
Highlight,PHAN VIỆT,"Social Content Mentor tại Conan School. 7 năm kinh nghiệm trong Content Marketing & Truyền thông. Mình giúp các chuyên gia có được sự công nhận tương xứng với năng lực, thông qua các lớp học về viral content và THCN.",/images/cover.jpg,,mirror.mp4,Mentor,99%,1997,9.9/10,Start
Hành Trình Sự Nghiệp,Conan School,"Co-founder & Mentor (2024 - Nay). Đào tạo Content Creator và xây dựng chương trình giảng dạy thực chiến.",https://images.unsplash.com/photo-1524178232363-1fb2b075b655?q=80&w=2070,,,Founder,98%,2024,Active,Lead
Hành Trình Sự Nghiệp,Freelance Consultant,"Tư vấn & Coach (2023). Đồng hành cùng doanh nghiệp và cá nhân định vị thương hiệu.",https://images.unsplash.com/photo-1552664730-d307ca884978?q=80&w=2070,,,Coach,95%,2023,Active,Guide
Hành Trình Sự Nghiệp,SAH Class,"Marketing Team Leader (2023 - 2024). Dẫn dắt đội ngũ và quản lý chiến lược marketing tổng thể.",https://images.unsplash.com/photo-1542744173-8e7e53415bb0?q=80&w=2070,,,Leader,94%,2023,Completed,Team
Hành Trình Sự Nghiệp,Amber Online Education,"Content Manager (2021 - 2023). Xây dựng nội dung giáo dục trực tuyến bài bản.",https://images.unsplash.com/photo-1516321318423-f06f85e504b3?q=80&w=2070,,,Manager,92%,2021,2 Years,Build
Hành Trình Sự Nghiệp,EMASI Schools,"Content Writer (2020 - 2021). Thổi hồn vào con chữ trong môi trường giáo dục song ngữ.",https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=2073,,,Writer,90%,2020,1 Year,Staff
Dấu Ấn Cá Nhân,Truyện Tấm Cám,"Chuyện chưa bao giờ kể. 50.000 shares, 15.000 bình luận. Minh chứng sức mạnh của Storytelling.",https://images.unsplash.com/photo-1626814026160-2237a95fc5a0?q=80&w=2070,,,Viral,100%,2016,Hit,50K+
Dấu Ấn Cá Nhân,Lớp Sharable Content,"Đào tạo học viên đạt 100 - 10.000 shares. Lan tỏa giá trị thực qua từng bài viết.",https://images.unsplash.com/photo-1531403009284-440f080d1e12?q=80&w=2070,,,Education,98%,2024,Impact,Real
Dấu Ấn Cá Nhân,Speaker Brand-U,"Chia sẻ về Thương hiệu cá nhân với 400+ sinh viên NEU. Truyền lửa cho thế hệ trẻ.",https://images.unsplash.com/photo-1475721027767-f4240278127b?q=80&w=2074,,,Speaker,95%,2023,Talk,400+
Dấu Ấn Cá Nhân,Giải Nhất Buzz Creative,"Sáng tạo không giới hạn tại Creative Camp 2016. Sự công nhận từ giới chuyên môn.",https://images.unsplash.com/photo-1567942712661-59b920f76568?q=80&w=1974,,,Award,99%,2016,Win,Top 1
